"gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"z.std"
"1"	"BCL10"	0.00629205020925105	12.7296052814596	3.19097112812812	0.00157105266270857	0.785526331354283	-3.48584097858906	3.16122838048419
"2"	"MSL3"	-0.0068304099266921	12.823128081655	-2.87234418873837	0.00436791116909215	0.997251588588123	-4.27260124729066	-2.8502919792254
"3"	"HNRNPH1"	0.00719133915128984	13.0689293514953	2.59804685321827	0.00984314157315933	0.997251588588123	-4.85102171135338	2.58129154727099
"4"	"NAA50"	-0.00697595720554545	13.1732489432443	-2.45491152752555	0.0146726161204473	0.997251588588123	-5.16764393028054	-2.44036038898277
"5"	"SMAP2"	0.00617814547430853	12.915742634413	2.36488260764023	0.01868387750844	0.997251588588123	-5.47241361206471	2.35177889006188
"6"	"S100A6"	0.00634304785834302	13.6931635757602	2.33414786220585	0.0202548180290273	0.997251588588123	-5.52943408432436	2.32159380051773
"7"	"SLC25A36"	-0.00463690822613854	12.7294886433938	-2.30180363733516	0.0220421670763245	0.997251588588123	-5.85658575309012	-2.28964046765937
"8"	"IP6K2"	-0.00408888714207351	12.6612272727599	-2.256425887295	0.0247710790887283	0.997251588588123	-6.07221852697358	-2.24495410396598
"9"	"APEX2"	-0.00343862549029085	12.5803958041424	-2.25439429308457	0.0249068155172643	0.997251588588123	-6.23749845419851	-2.24284493748832
"10"	"MAP3K7"	-0.00375872986500341	12.6328585498083	-2.22920304889789	0.0265483924125869	0.997251588588123	-6.20579758473125	-2.21809446102636
"11"	"MRPL20"	-0.00585296282259843	13.1149317836901	-2.11724749092264	0.0350700592802469	0.997251588588123	-5.95350671458848	-2.10754853469945
"12"	"COPG1"	0.00317092979346358	12.5712790896134	2.1067007606561	0.035988811314685	0.997251588588123	-6.57636326808505	2.09705382003056
"13"	"PDE6D"	-0.0033354919790292	12.6077855124222	-2.07762886477839	0.0386086335026966	0.997251588588123	-6.5801237720357	-2.06833392790199
"14"	"GPSM2"	-0.00297334768216356	12.5748180209777	-1.98355440124733	0.0482263349287353	0.997251588588123	-6.83498601223547	-1.97536858710441
"15"	"XRN1"	0.00467426396024331	12.8244787851223	1.95120155955063	0.0519824287237167	0.997251588588123	-6.43527011245482	1.94327923750768
"16"	"SNRPC"	-0.00497761316729146	12.91690438752	-1.90881414882575	0.0572499795735992	0.997251588588123	-6.44386450945547	-1.90139740206339
