"gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"z.std"
"1"	"UBE2J1"	-0.265935152850925	12.8937668733174	-3.87496697516689	0.000131266259528231	0.0656331297641157	0.832607165430908	-3.8240706767756
"2"	"CCT3"	-0.248773671097212	12.9897782926586	-3.46765612815913	0.000603930521829441	0.15098263045736	-0.471057005284929	-3.42984302766194
"3"	"MANF"	-0.212483005947083	12.8431078659183	-3.25852972946773	0.00125161088581103	0.208601814301839	-1.04625599822317	-3.22684992242946
"4"	"IRF1"	0.230989851034025	13.532593100113	3.04710462969192	0.00251823128143481	0.314778910179352	-1.62979735449191	3.02114212460738
"5"	"GNB2"	-0.193925655268987	12.8308021388862	-2.90573283440252	0.00393948946790799	0.358647123513919	-1.99177975130052	-2.88296680979853
"6"	"S100A4"	-0.216138542635945	13.0006982442418	-2.87745880603125	0.00430376548216703	0.358647123513919	-2.05617418955365	-2.8549939053165
"7"	"ITM2C"	-0.19291387472354	12.8893483124525	-2.70298312385522	0.00727217297834809	0.440220196532536	-2.47953648269327	-2.68411664247519
"8"	"RBM28"	0.130985106464126	12.6578843157951	2.64188831084818	0.00868139225717296	0.440220196532536	-2.73323942776434	2.6243523546337
"9"	"CXXC5"	-0.195514904793977	13.0645410651407	-2.63079775843305	0.00896301578816143	0.440220196532536	-2.63521429702837	-2.61346158979755
"10"	"CUTA"	-0.189697120379424	13.0061861987839	-2.61295511206527	0.00943908922673598	0.440220196532536	-2.67674476868283	-2.5957274997326
"11"	"GCC1"	-0.11515137042055	12.6185834325883	-2.59707110588135	0.00987509461517487	0.440220196532536	-2.91347848006551	-2.58017259566731
"12"	"MAP4K4"	-0.153091822675816	12.7505707451114	-2.54818281255487	0.0113321516027423	0.440220196532536	-2.87833088326207	-2.53228600837746
"13"	"SDE2"	-0.101401640342313	12.5759650040656	-2.544810308182	0.0114457251098459	0.440220196532536	-3.10813747218561	-2.52878765667461
"14"	"SF3A3"	0.142659584103218	12.7399483474526	2.44560859490388	0.0150413577443942	0.502420649371498	-3.11440890636058	2.43138173828867
"15"	"DDHD2"	-0.10114523859391	12.5884563148065	-2.42638034844315	0.0158456042388375	0.502420649371498	-3.3732114821978	-2.41245244857169
"16"	"SLC39A4"	-0.0993654778910722	12.582563987834	-2.42121838906304	0.0160774607798879	0.502420649371498	-3.37499341607746	-2.40715236236051
"17"	"COPS7B"	-0.111326857938874	12.6356890535414	-2.3619207446649	0.0188346696721793	0.553960872711157	-3.41647655545704	-2.34878715943658
"18"	"ACOT9"	-0.113506449255517	12.6519669441838	-2.32102825109833	0.0209713040981146	0.574042972323549	-3.49260365634946	-2.30850069727549
"19"	"SLC25A37"	-0.0948205187216936	12.5964725230394	-2.30352643071097	0.0219398924566456	0.574042972323549	-3.63946355092747	-2.29140687266088
"20"	"KLHL24"	-0.136494776959493	12.7443332038699	-2.28594586153215	0.022961718892942	0.574042972323549	-3.4504111285289	-2.27407098502192
"21"	"FCRL3"	0.152175125705329	12.8513271770515	2.25115241565268	0.0251194442707458	0.598082006446328	-3.46179234761069	2.23956088814234
"22"	"ANP32E"	0.151792023906651	12.8557019334526	2.22138020124065	0.0270906161020513	0.5998601587246	-3.51668864918421	2.21020964217808
"23"	"EPB41L2"	-0.10057560760019	12.6187781556127	-2.20178849554315	0.028449079904783	0.5998601587246	-3.80009444603353	-2.1910374857451
"24"	"MYO1G"	-0.125380833403941	12.7353905417931	-2.19194840170196	0.0291746237609833	0.5998601587246	-3.65195593310908	-2.1811188932176
"25"	"HSPB1"	-0.100410516722165	12.6200980277551	-2.18066371083831	0.02999300793623	0.5998601587246	-3.83766711812381	-2.1701827024415
"26"	"SRSF11"	0.166781412214106	13.1519650353386	2.15730463955127	0.0317839971880462	0.610990695239202	-3.59944864319126	2.14711663618707
"27"	"CASP3"	-0.100038516391916	12.631828077705	-2.14228520932183	0.0329934975429169	0.610990695239202	-3.88908576169441	-2.13216240920089
"28"	"COPS8"	-0.11164925048729	12.7093717096368	-2.04037317831545	0.0422136163462359	0.753814577611356	-3.98149800422788	-2.0314080712405
"29"	"PSMD14"	0.122267923557382	12.7477687813139	2.01491968823038	0.0448141235972933	0.770510808097549	-3.96393229499414	2.00639497902614
"30"	"VMA21"	-0.114887205032711	12.7246089836163	-2.00176520899375	0.0462306484858529	0.770510808097549	-4.018947777228	-1.99328134040454
"31"	"MAPKAP1"	-0.100416672901556	12.6620438394239	-1.98603129189257	0.0479626735393194	0.773023187811704	-4.12989864755933	-1.97769899658556
"32"	"ANKH"	-0.101984956044957	12.6690485611534	-1.96725664311465	0.0500949618207813	0.773023187811704	-4.15523579697091	-1.95915222822936
"33"	"WTAP"	0.150450666923521	13.1323395911562	1.95938328916375	0.0510195303955725	0.773023187811704	-3.94721746243676	1.95131546597394
"34"	"OXSR1"	-0.10263986158081	12.6954610339669	-1.9288220788554	0.0547059066853026	0.804498627725039	-4.19037328691881	-1.92120469357365
"35"	"S100A6"	-0.140885845916821	13.6931635757602	-1.91461817541256	0.0565019925038676	0.805408119417285	-4.05304453191537	-1.90714361626306
"36"	"TULP4"	-0.109242823797503	12.7291688845316	-1.90323368817609	0.0579893845980445	0.805408119417285	-4.19815409293055	-1.89577816291135
"37"	"SMIM20"	-0.0881526140158445	12.6318467683756	-1.86706064396914	0.062889338420548	0.82318932790705	-4.400642720612	-1.85997305384295
"38"	"TAZ"	-0.0761922166377807	12.5891205464426	-1.86019797735859	0.0638548135822233	0.82318932790705	-4.5160946980535	-1.8531922117434
"39"	"HARS"	0.0976526569975721	12.6713382932325	1.85773073502008	0.0642087675767499	0.82318932790705	-4.3383757394149	1.85072748721907
"40"	"KLHL2"	-0.0751064181835333	12.5860146964121	-1.83821284393948	0.0670297948059998	0.837872435074998	-4.57117234999168	-1.83147420233882
"41"	"HIST1H1C"	-0.0792115493122637	12.6121652967535	-1.80833806843832	0.0715808268270395	0.860658915201923	-4.55320059308481	-1.80177490942246
"42"	"FAM50A"	-0.109483277271772	12.7715292835052	-1.78600106848701	0.075119392680195	0.860658915201923	-4.34315692079755	-1.77973467610479
"43"	"AC245297.3"	0.135104052857667	13.0711345165499	1.78281981733703	0.075655079484731	0.860658915201923	-4.23341387558562	1.77647244639125
"44"	"RHOH"	0.135499827729354	13.1975707012029	1.78230899245254	0.0757379845377692	0.860658915201923	-4.22642166459109	1.77596925650809
"45"	"ACTR1B"	-0.0931482644902132	12.6900857889464	-1.75156913765642	0.0808803170547939	0.866698900174584	-4.49297095076621	-1.74560095008524
